Decision Tree,Train Quantity,Test Quantity,Repetition,Accuracy
Lib,40,4,10,1
Lib,40,4,10,1
Lib,40,40,10,1
Lib,40,40,10,0.925
Lib,40,40,10,1
Lib,40,40,10,1
Lib,40,40,10,0.875
Lib,40,40,10,0.925
Lib,40,40,10,0.825
Lib,40,40,10,0.9
Lib,40,40,10,0.9
Lib,40,40,10,0.925
Lib,40,400,10,0.99
Lib,40,400,10,0.935
Lib,40,400,10,0.95
Lib,40,400,10,0.9825
Lib,40,400,10,0.8625
Lib,40,400,10,0.9825
Lib,40,400,10,0.955
Lib,40,400,10,0.9925
Lib,40,400,10,0.9675
Lib,40,400,10,0.9125
Lib,40,4000,10,0.9685
Lib,40,4000,10,0.98425
Lib,40,4000,10,0.876
Lib,40,4000,10,0.949
Lib,40,4000,10,0.94675
Lib,40,4000,10,0.98825
Lib,40,4000,10,0.95875
Lib,40,4000,10,0.8135
Lib,40,4000,10,0.96975
Lib,40,4000,10,0.96
Lib,400,4,10,1
Lib,400,4,10,1
Lib,400,4,10,1
Lib,400,4,10,1
Lib,400,4,10,1
Lib,400,4,10,1
Lib,400,4,10,1
Lib,400,4,10,1
Lib,400,4,10,1
Lib,400,4,10,1
Lib,400,40,10,1
Lib,400,40,10,1
Lib,400,40,10,0.975
Lib,400,40,10,0.975
Lib,400,40,10,0.95
Lib,400,40,10,1
Lib,400,40,10,1
Lib,400,40,10,1
Lib,400,40,10,1
Lib,400,40,10,1
Lib,400,400,10,1
Lib,400,400,10,1
Lib,400,400,10,0.9975
Lib,400,400,10,1
Lib,400,400,10,0.995
Lib,400,400,10,0.9975
Lib,400,400,10,1
Lib,400,400,10,0.99
Lib,400,400,10,0.98
Lib,400,400,10,0.995
Lib,400,4000,10,0.9945
Lib,400,4000,10,0.99325
Lib,400,4000,10,0.994
Lib,400,4000,10,0.9915
Lib,400,4000,10,0.99525
Lib,400,4000,10,0.9935
Lib,400,4000,10,0.99625
Lib,400,4000,10,0.99425
Lib,400,4000,10,0.9865
Lib,400,4000,10,0.9945
Lib,4000,4,10,1
Lib,4000,4,10,1
Lib,4000,4,10,1
Lib,4000,4,10,1
Lib,4000,4,10,1
Lib,4000,4,10,1
Lib,4000,4,10,1
Lib,4000,4,10,1
Lib,4000,4,10,1
