1,4,4,0.5
2,4,4,0.5
3,4,4,0.5
4,4,4,0.5
5,4,4,0.75
6,4,4,0.75
7,4,4,0.75
8,4,4,0.75
9,4,4,0.75
10,4,4,0.75
1,4,40,0.375
2,4,40,0.525
3,4,40,0.575
4,4,40,0.575
5,4,40,0.5
6,4,40,0.7
7,4,40,0.7
8,4,40,0.7
9,4,40,0.55
10,4,40,0.625
1,4,400,0.845
2,4,400,0.5575
3,4,400,0.6
4,4,400,0.595
5,4,400,0.455
6,4,400,0.51
7,4,400,0.465
8,4,400,0.475
9,4,400,0.4725
10,4,400,0.685
1,4,4000,0.497
2,4,4000,0.832
3,4,4000,0.512
4,4,4000,0.55275
5,4,4000,0.48975
6,4,4000,0.58925
7,4,4000,0.551
8,4,4000,0.44175
9,4,4000,0.5445
10,4,4000,0.8665
1,40,4,1
2,40,4,1
3,40,4,1
4,40,4,1
5,40,4,1
6,40,4,1
7,40,4,1
8,40,4,1
9,40,4,0.75
10,40,4,0.75
1,40,40,0.925
2,40,40,0.975
3,40,40,1
4,40,40,0.95
5,40,40,0.95
6,40,40,1
7,40,40,0.925
8,40,40,0.9
9,40,40,1
10,40,40,0.975
1,40,400,0.95
2,40,400,0.9375
3,40,400,0.97
4,40,400,0.9675
5,40,400,0.9725
6,40,400,0.9575
7,40,400,0.9425
8,40,400,0.9825
9,40,400,0.97
10,40,400,0.9475
1,40,4000,0.9785
2,40,4000,0.8165
3,40,4000,0.93175
4,40,4000,0.9265
5,40,4000,0.95075
6,40,4000,0.98475
7,40,4000,0.89925
8,40,4000,0.94325
9,40,4000,0.97875
10,40,4000,0.9505
1,400,4,1
2,400,4,1
3,400,4,1
4,400,4,1
5,400,4,1
6,400,4,1
7,400,4,1
8,400,4,1
9,400,4,1
10,400,4,1
1,400,40,1
2,400,40,1
3,400,40,0.975
4,400,40,1
5,400,40,1
6,400,40,0.975
7,400,40,1
8,400,40,0.975
9,400,40,1
10,400,40,1
1,400,400,0.9975
2,400,400,0.9925
3,400,400,0.995
4,400,400,0.9975
5,400,400,0.9875
6,400,400,0.995
7,400,400,0.9925
8,400,400,0.9925
9,400,400,0.995
10,400,400,0.995
1,400,4000,0.9885
2,400,4000,0.989
3,400,4000,0.9955
4,400,4000,0.997
5,400,4000,0.9925
6,400,4000,0.99575
7,400,4000,0.99575
8,400,4000,0.99275
9,400,4000,0.99025
10,400,4000,0.9935
1,4000,4,1
2,4000,4,1
3,4000,4,1
4,4000,4,1
5,4000,4,1
6,4000,4,1
7,4000,4,1
8,4000,4,1
9,4000,4,1
10,4000,4,1
1,4000,40,1
2,4000,40,1
3,4000,40,1
4,4000,40,1
5,4000,40,1
6,4000,40,1
7,4000,40,1
8,4000,40,1
9,4000,40,1
10,4000,40,1
1,4000,400,1
2,4000,400,1
3,4000,400,0.995
4,4000,400,1
5,4000,400,1
6,4000,400,1
7,4000,400,0.9975
8,4000,400,0.9975
9,4000,400,1
10,4000,400,0.9975
1,4000,4000,1
2,4000,4000,0.9995
3,4000,4000,1
4,4000,4000,1
5,4000,4000,1
6,4000,4000,1
7,4000,4000,0.99925
8,4000,4000,0.9995
9,4000,4000,0.9995
10,4000,4000,1
1,4,4,0.75
2,4,4,0.5
3,4,4,0.5
4,4,4,0.5
5,4,4,0.5
6,4,4,0.5
7,4,4,0.25
8,4,4,0.25
9,4,4,0.25
10,4,4,0.75
1,4,40,0.4
2,4,40,0.475
3,4,40,0.575
4,4,40,0.825
5,4,40,0.725
6,4,40,0.7
7,4,40,0.7
8,4,40,0.7
9,4,40,0.55
10,4,40,0.525
1,4,400,0.895
2,4,400,0.5575
3,4,400,0.6
4,4,400,0.59
5,4,400,0.455
6,4,400,0.5225
7,4,400,0.93
8,4,400,0.8
9,4,400,0.49
10,4,400,0.715
1,4,4000,0.45275
2,4,4000,0.7805
3,4,4000,0.76025
4,4,4000,0.539
5,4,4000,0.48975
6,4,4000,0.78125
7,4,4000,0.7445
8,4,4000,0.45775
9,4,4000,0.74625
10,4,4000,0.8555
1,40,4,1
2,40,4,1
3,40,4,1
4,40,4,1
5,40,4,1
6,40,4,1
7,40,4,1
8,40,4,1
9,40,4,0.75
10,40,4,0.75
1,40,40,0.9
2,40,40,0.875
3,40,40,1
4,40,40,0.95
5,40,40,0.875
6,40,40,0.95
7,40,40,0.95
8,40,40,0.925
9,40,40,1
10,40,40,0.975
1,40,400,0.9325
2,40,400,0.9625
3,40,400,0.945
4,40,400,0.9625
5,40,400,0.97
6,40,400,0.875
7,40,400,0.99
8,40,400,0.855
9,40,400,0.9875
10,40,400,0.9625
1,40,4000,0.9635
2,40,4000,0.95
3,40,4000,0.88575
4,40,4000,0.86125
5,40,4000,0.87475
6,40,4000,0.9605
7,40,4000,0.9835
8,40,4000,0.82375
9,40,4000,0.8975
10,40,4000,0.9115
1,400,4,1
2,400,4,1
3,400,4,1
4,400,4,1
5,400,4,1
6,400,4,1
7,400,4,1
8,400,4,1
9,400,4,1
10,400,4,1
1,400,40,1
2,400,40,1
3,400,40,1
4,400,40,1
5,400,40,1
6,400,40,0.975
7,400,40,1
8,400,40,1
9,400,40,1
10,400,40,1
1,400,400,0.9975
2,400,400,1
3,400,400,0.9975
4,400,400,1
5,400,400,0.99
6,400,400,0.9975
7,400,400,0.9925
8,400,400,0.9975
9,400,400,0.9975
10,400,400,1
1,400,4000,1
2,400,4000,1
3,400,4000,0.993
4,400,4000,0.9975
5,400,4000,0.999
6,400,4000,0.9875
7,400,4000,0.989
8,400,4000,0.996
9,400,4000,0.98925
10,400,4000,0.9935
1,4000,4,1
2,4000,4,1
3,4000,4,1
4,4000,4,1
5,4000,4,1
6,4000,4,1
7,4000,4,1
8,4000,4,1
9,4000,4,1
10,4000,4,1
1,4000,40,1
2,4000,40,1
3,4000,40,1
4,4000,40,1
5,4000,40,1
6,4000,40,1
