Decision Tree,Train Quantity,Test Quantity,Repetition,Accuracy
Original,4,400,15,0.5175
Original,4,400,16,0.8775
Original,4,400,17,0.73
Original,4,400,18,0.5225
Original,4,400,19,0.48
Original,4,400,20,0.3975
Original,4,400,21,0.5675
Original,4,400,22,0.805
Original,4,400,23,0.4825
Original,4,400,24,0.5625
Original,4,400,25,0.5625
Original,4,400,26,0.58
Original,4,400,27,0.53
Original,4,400,28,0.5225
Original,4,400,29,0.55
Original,4,400,30,0.535
Original,4,400,31,0.7
Original,4,400,32,0.56
Original,4,400,33,0.855
Original,4,400,34,0.48
Original,4,400,35,0.5825
Original,4,400,36,0.505
Original,4,400,37,0.4825
Original,4,400,38,0.4625
Original,4,400,39,0.53
Original,4,400,40,0.8825
Original,4,400,41,0.5075
Original,4,400,42,0.485
Original,4,400,43,0.53
Original,4,400,44,0.565
Original,4,400,45,0.5
Original,4,400,46,0.4925
Original,4,400,47,0.53
Original,4,400,48,0.51
Original,4,400,49,0.5325
Original,4,400,50,0.51
Original,4,400,51,0.5
Original,4,400,52,0.725
Original,4,400,53,0.5425
Original,4,400,54,0.4275
Original,4,400,55,0.5025
Original,4,400,56,0.625
Original,4,400,57,0.48
Original,4,400,58,0.8925
Original,4,400,59,0.5125
Original,4,400,60,0.4075
Original,4,400,61,0.5525
Original,4,400,62,0.8025
Original,4,400,63,0.885
Original,4,400,64,0.5075
Original,4,400,65,0.505
Original,4,400,66,0.5225
Original,4,400,67,0.885
Original,4,400,68,0.535
Original,4,400,69,0.535
Original,4,400,70,0.515
Original,4,400,71,0.6375
Original,4,400,72,0.5725
Original,4,400,73,0.55
Original,4,400,74,0.5
Original,4,400,75,0.7275
Original,4,400,76,0.5725
Original,4,400,77,0.8275
Original,4,400,78,0.54
Original,4,400,79,0.755
Original,4,400,80,0.5725
Original,4,400,81,0.5675
Original,4,400,82,0.525
Original,4,400,83,0.565
Original,4,400,84,0.59
Original,4,400,85,0.4625
Original,4,400,86,0.5475
Original,4,400,87,0.5125
Original,4,400,88,0.7675
Original,4,400,89,0.475
Original,4,400,90,0.855
Original,4,400,91,0.43
Original,4,400,92,0.4225
Original,4,400,93,0.87
Original,4,400,94,0.475
Original,4,400,95,0.8625
Original,4,400,96,0.545
Original,4,400,97,0.4975
Original,4,400,98,0.8075
Original,4,400,99,0.48
Original,4,400,100,0.53
Original,4,4000,1,0.74475
Original,4,4000,2,0.58025
Original,4,4000,3,0.50525
Original,4,4000,4,0.52775
Original,4,4000,5,0.54175
Original,4,4000,6,0.52525
Original,4,4000,7,0.48225
Original,4,4000,8,0.7425
Original,4,4000,9,0.54425
Original,4,4000,10,0.83425
Original,4,4000,11,0.57975
Original,4,4000,12,0.505
Original,4,4000,13,0.50075
Original,4,4000,14,0.88675
Original,4,4000,15,0.54275
Original,4,4000,16,0.8835
Original,4,4000,17,0.82925
Original,4,4000,18,0.55725
Original,4,4000,19,0.48275
Original,4,4000,20,0.50125
Original,4,4000,21,0.876
Original,4,4000,22,0.75425
Original,4,4000,23,0.51725
Original,4,4000,24,0.481
